"water_year","Acartia Adult","Acartiella sinensis Adult","Bosmina longirostris Adult","Daphnia Adult","Diaphanosoma Adult","Eurytemora affinis Adult","Eurytemora affinis Juvenile","Limnoithona tetraspina Adult","Neomysis mercedis Adult","Pseudodiaptomus forbesi Adult","Pseudodiaptomus Juvenile","Tortanus Adult","Hyperacanthomysis longirostris Adult","Neomysis kadiakensis Adult"
1995,20.1788855555556,390.616642407407,277.760822222222,396.658925925926,37.8323796296296,255.973407407407,186.079486305556,761.292020935185,359.981867456903,1822.68069235185,1782.79991392593,299.064227777778,515.275892102405,35.1167997475575
1996,56.5590951851852,248.923432592593,247.419305555556,719.486666666667,50.2986574074074,127.272594907407,120.042234722222,623.958164212963,285.551731840805,1674.47268388889,2160.92342425926,443.064620833333,666.148922873407,18.935473327827
1997,13.2946041481481,384.690667481482,219.163505555556,1189.48911111111,250.661296296296,200.128127314815,186.177289638889,1391.10588698148,204.515247334888,2330.16318924074,2595.49792207407,960.879896666667,2416.03084421688,120.661766782723
1998,14.2088133333333,118.992713518519,183.986083333333,446.388148148148,44.1612962962963,170.886810185185,147.292220833333,1198.32265421296,104.727588520863,3926.24258583333,2612.46487537037,215.418690277778,1839.66014039181,76.3502961709654
1999,204.007514814815,5.22005268518518,280.131305555556,788.127407407407,167.825925925926,516.108368055556,550.275690972222,1966.38414486111,128.078286384571,1983.84847527778,1836.57937685185,513.318254166667,3491.13208984314,47.1168715434659
2000,165.745589259259,30.28576,382.7664,1976.46855555556,158.701944444444,254.108671296296,289.861288888889,1754.40677325926,217.620236578834,2107.87100598148,2259.704752,371.428273611111,8051.12407606335,184.767608658535
2001,348.143141851852,400.069044148148,399.0408,775.867185185185,86.8871851851852,223.362877314815,245.558583472222,1648.27051472222,157.241456889274,797.455019574074,805.212161037037,296.535713055556,982.111431595523,199.225887264025
2002,534.026586666667,352.051372555556,299.582611111111,1897.17922222222,300.485888888889,341.074927777778,1130.57128672222,2870.41646266667,25.3138453733182,1895.30648551852,2121.62138218519,536.076790277778,1601.40195120733,118.351516682245
2003,1153.09894162963,460.881343444444,952.08415,1455.71122222222,402.466296296296,308.437969907407,388.332744583333,2095.35837894444,31.1334995669737,1748.61557057407,1862.16060022222,291.711097222222,1530.46613411036,107.314035714968
2004,93.0165740343916,549.594057427249,1780.77888392857,2095.28294312169,442.951263227513,372.579203207672,401.870134082341,1970.49707771991,41.5418218984466,2123.82746532407,1944.03218369709,433.337353472222,1023.94058885108,90.8032079631474
2005,65.889106015873,453.82183539418,191.83533015873,600.243407407407,62.6884206349206,169.024173082011,161.92089960119,1724.77505101389,66.2074357145102,2394.95048925,1883.84428424735,267.758366527778,1106.38310999501,50.6819277210343
2006,21.9960793888889,482.581571351852,139.938681944444,166.187111111111,34.3997847222222,381.652717939815,299.390416631944,2525.41311529398,100.931371944076,2689.69388900463,1584.21354267593,241.574869375,1688.03228148075,95.6453816648769
2007,376.912380224868,467.267704126984,3685.99866269841,2669.49682539683,246.107349537037,207.972805555556,605.215009930556,1995.31766438657,19.3586326557521,1241.58424747355,1719.78405616402,231.761933333333,346.453907504401,51.8805745125793
2008,203.876826666667,572.338325846561,780.281239087302,1719.16781084656,481.963106812169,686.411975694444,1133.47675767857,2744.79494232639,58.2827427023184,1581.08864113095,1725.25269818122,513.942644791667,1748.83955446875,432.908259872804
2009,180.84323297619,571.799545231481,670.386938492063,1028.17646825397,151.889705687831,292.149908978175,477.186073219246,2206.6507702662,11.5741117767786,1122.29606176257,1969.44122767196,503.314530555556,255.887863750772,104.556277938876
2010,97.9508015740741,410.314922073413,189.286726190476,428.454669312169,195.67992228836,232.389351025132,338.383597822421,1361.27426696759,47.5245751664976,1679.55381160053,1888.90180449074,323.530822222222,1641.24866898324,58.4916125319883
2011,32.8482864444444,890.281899441799,73.0130662698413,182.701962962963,14.3415760582011,343.941649041005,354.038342640873,1108.288565375,148.393081228654,1987.65264229365,1149.30117585185,226.992435694444,504.646196791035,108.203160234653
2012,69.289820037037,403.209138117064,92.5787438492063,355.839566137566,474.879290674603,339.396328356481,372.189275133929,3242.26681500926,32.0994442419357,1684.08143345503,1434.34014268386,594.592436111111,1181.75092636213,87.6758810357194
2013,66.2304276587302,562.780336752645,293.828579365079,919.983802910053,299.294760251323,208.874821345899,522.718812068452,3170.39582019676,8.59972003075033,1753.16886435516,1491.04101884921,523.473617708333,1090.60027526099,160.025125231332
2014,50.4329303571429,598.13644260582,98.0369950396825,1226.53437169312,410.469692460317,390.210341600529,413.626508943452,3574.63675908565,1.30060996662185,2190.25508286706,1579.7787587037,940.483766666667,596.20112130819,283.141574898868
2015,8.93393712962963,878.268962509921,94.6185763888889,1266.81263227513,610.896488095238,145.388318865741,299.402501279762,4525.28072824074,0.731178142537636,2055.53433068122,1641.26996862434,1076.80756979167,1255.65904436335,683.412252846708
2016,24.8720544444444,582.699861798942,662.20044047619,2580.56700396825,1336.87987103175,335.884987433862,692.936218219246,4181.1008571412,120.359327404595,3030.96754434193,2784.47454082672,944.218521875,4182.17606337113,783.69873898451
2017,8.35616703703704,637.592986937831,287.405650396825,261.794142857143,115.965393518519,345.664018882275,487.388641045635,4523.02153939815,471.394706458695,6813.23873080423,7094.96786623545,421.644854861111,7001.28521967387,604.406391260488
2018,46.8015237301587,859.137820565476,95.430403968254,153.350667989418,872.334355820106,675.549650710979,763.664686661706,3547.68919542824,91.5836209413617,2655.95673534656,3002.70206367725,668.769591180556,2048.09511593599,346.775215506587
2019,17.3220075079365,726.497361988095,173.582807936508,238.219441798942,103.049560185185,367.326363062169,503.074001418651,3964.69137801389,97.519529424027,2083.69013214418,2121.6276347328,519.669726805556,2304.44686091506,345.162867611625
2020,168.470008888889,1148.71287342593,191.936988888889,289.256740740741,1267.63233333333,190.45930787037,548.5215775,4480.82537233333,16.334938567001,1308.59904816667,1152.23572474074,953.4220675,1190.92738824235,372.256630472881
